,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G03,SYBR,acrB,Unkn,Off,,27.1120201000262,27.1120201000262,0,NaN,NaN,NaN,0,55,
,G04,SYBR,acrB,Unkn,Low,,28.062660705119,28.062660705119,0,NaN,NaN,NaN,0,55,
,G05,SYBR,acrB,Unkn,Mid,,28.3710352708641,28.3710352708641,0,NaN,NaN,NaN,0,55,
,G06,SYBR,acrB,Unkn,High,,26.8181464072193,26.8181464072193,0,NaN,NaN,NaN,0,55,
,G07,SYBR,ompF,Unkn,BW,,29.1351456289724,29.1351456289724,0,NaN,NaN,NaN,0,55,
,G08,SYBR,ompF,Unkn,dOmpF,,29.3001116506888,29.3001116506888,0,NaN,NaN,NaN,0,55,
,G09,SYBR,ompF,Unkn,Off,,29.0910937790205,29.0910937790205,0,NaN,NaN,NaN,0,55,
,G10,SYBR,ompF,Unkn,Low,,22.0046222800558,22.0046222800558,0,NaN,NaN,NaN,0,55,
,H01,SYBR,acrB,Unkn,BW,,30.1002905997902,30.1002905997902,0,NaN,NaN,NaN,0,55,
,H02,SYBR,acrB,Unkn,dAcrB,,32.2241745685701,32.2241745685701,0,NaN,NaN,NaN,0,55,
,H03,SYBR,acrB,Unkn,Off,,27.4820132103149,27.4820132103149,0,NaN,NaN,NaN,0,55,
,H04,SYBR,acrB,Unkn,Low,,27.9740873922271,27.9740873922271,0,NaN,NaN,NaN,0,55,
,H05,SYBR,acrB,Unkn,Mid,,28.8005048526257,28.8005048526257,0,NaN,NaN,NaN,0,55,
,H06,SYBR,acrB,Unkn,High,,28.325775112953,28.325775112953,0,NaN,NaN,NaN,0,55,
,H07,SYBR,ompF,Unkn,BW,,25.9298466048632,25.9298466048632,0,NaN,NaN,NaN,0,55,
,H08,SYBR,ompF,Unkn,dOmpF,,29.8281754360019,29.8281754360019,0,NaN,NaN,NaN,0,55,
,H09,SYBR,ompF,Unkn,Off,,29.0042597105288,29.0042597105288,0,NaN,NaN,NaN,0,55,
,H10,SYBR,ompF,Unkn,Low,,22.2273492215863,22.2273492215863,0,NaN,NaN,NaN,0,55,
